,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
u[51550],-0.155,0.572,-1.309,0.829,0.009,0.01,4926.0,4150.0,1.0
u[51660],-0.812,0.83,-2.422,0.697,0.008,0.008,10662.0,6873.0,1.0
u[51003],-0.098,0.411,-0.842,0.687,0.005,0.004,8191.0,8677.0,1.0
u[51019],0.147,0.433,-0.706,0.924,0.005,0.004,9115.0,8053.0,1.0
u[51195],0.393,0.78,-1.052,1.862,0.014,0.014,3032.0,4215.0,1.0
u[51740],-0.033,0.627,-1.249,1.095,0.01,0.011,4824.0,4084.0,1.0
u[51810],-0.326,0.617,-1.512,0.818,0.008,0.011,6379.0,4166.0,1.0
u[51005],-0.399,0.662,-1.644,0.846,0.008,0.006,7743.0,7561.0,1.0
u[51640],-1.24,1.031,-3.2,0.711,0.016,0.013,4542.0,4008.0,1.0
u[51193],-0.515,0.677,-1.791,0.742,0.007,0.006,10336.0,7890.0,1.0
u[51133],-0.764,0.898,-2.431,0.96,0.008,0.009,12461.0,7887.0,1.0
u[51155],0.201,0.671,-1.088,1.449,0.008,0.008,6968.0,6904.0,1.0
u[51187],0.337,0.512,-0.66,1.268,0.006,0.006,7625.0,6025.0,1.0
u[51590],0.112,0.743,-1.3,1.508,0.006,0.009,13769.0,7249.0,1.0
u[51630],1.551,0.702,0.172,2.8,0.014,0.011,2908.0,3133.0,1.0
u[51017],-0.479,0.649,-1.705,0.74,0.007,0.005,8887.0,7649.0,1.0
u[51670],0.326,0.622,-0.837,1.535,0.006,0.007,11982.0,7440.0,1.0
u[51700],-0.147,0.55,-1.21,0.86,0.007,0.007,6755.0,5665.0,1.0
u[51069],0.264,0.562,-0.759,1.37,0.006,0.006,9259.0,7592.0,1.0
u[51680],-0.009,0.581,-1.155,1.062,0.005,0.007,13390.0,8278.0,1.0
u[51199],-0.435,0.528,-1.423,0.561,0.006,0.006,9004.0,8008.0,1.0
u[51690],0.464,0.756,-0.922,1.954,0.006,0.009,13985.0,8652.0,1.0
u[51125],-0.274,0.54,-1.278,0.738,0.005,0.004,12523.0,10731.0,1.0
u[51143],0.204,0.464,-0.678,1.061,0.005,0.005,8660.0,8840.0,1.0
u[51610],-0.998,0.918,-2.723,0.752,0.011,0.009,7033.0,7355.0,1.0
u[51730],0.374,0.545,-0.639,1.397,0.007,0.005,6680.0,7050.0,1.0
u[51735],-0.691,0.74,-2.081,0.719,0.006,0.007,13453.0,8958.0,1.0
u[51820],-0.335,0.806,-1.884,1.167,0.006,0.008,20798.0,10620.0,1.0
u[51770],1.754,0.647,0.437,2.89,0.01,0.013,5380.0,3056.0,1.0
u[51800],-0.321,0.583,-1.426,0.74,0.008,0.009,6367.0,4714.0,1.0
u[51710],-0.168,0.557,-1.25,0.851,0.008,0.01,5260.0,3817.0,1.0
u[51041],0.23,0.362,-0.465,0.895,0.005,0.004,4783.0,4997.0,1.0
u[51059],-0.748,0.635,-1.939,0.45,0.009,0.009,4748.0,5991.0,1.0
u[51620],-1.018,0.805,-2.523,0.474,0.008,0.009,10331.0,7080.0,1.0
u[51093],-0.504,0.708,-1.817,0.845,0.008,0.008,8984.0,8016.0,1.0
u[51678],-0.841,0.961,-2.657,1.005,0.01,0.009,10200.0,8368.0,1.0
u[51089],0.402,0.552,-0.67,1.43,0.006,0.006,8639.0,7954.0,1.0
u[51101],0.068,0.534,-0.911,1.095,0.005,0.005,10747.0,8835.0,1.0
u[51109],0.347,0.434,-0.475,1.15,0.005,0.004,9517.0,8129.0,1.0
u[51147],-0.404,0.534,-1.378,0.63,0.006,0.004,8271.0,8572.0,1.0
u[51165],-0.127,0.464,-1.003,0.733,0.005,0.004,10011.0,8844.0,1.0
u[51043],0.252,0.581,-0.828,1.353,0.007,0.006,7789.0,6137.0,1.0
u[51117],0.064,0.572,-1.058,1.086,0.005,0.005,12341.0,10545.0,1.0
u[51015],-0.141,0.442,-0.999,0.662,0.004,0.004,12778.0,9764.0,1.0
u[51075],0.253,0.458,-0.652,1.089,0.005,0.004,9395.0,9678.0,1.0
u[51113],0.262,0.541,-0.743,1.283,0.005,0.005,11319.0,9694.0,1.0
u[51161],0.627,0.462,-0.209,1.548,0.005,0.006,7562.0,6991.0,1.0
u[51025],-0.053,0.578,-1.166,1.019,0.005,0.004,12567.0,12125.0,1.0
u[51163],-0.219,0.48,-1.108,0.708,0.005,0.004,8595.0,7857.0,1.0
u[51720],-0.274,1.034,-2.237,1.691,0.016,0.014,4120.0,4373.0,1.0
u[51570],0.137,0.65,-1.102,1.363,0.005,0.006,15563.0,10890.0,1.0
u[51023],0.257,0.539,-0.721,1.299,0.005,0.004,12524.0,10571.0,1.0
u[51520],-0.691,1.022,-2.697,1.157,0.017,0.016,4244.0,3392.0,1.0
u[51035],-0.31,0.696,-1.601,1.02,0.011,0.008,4385.0,4547.0,1.0
u[51191],-0.07,0.758,-1.464,1.397,0.014,0.014,3066.0,3133.0,1.0
u[51139],0.061,0.512,-0.895,1.032,0.005,0.005,11355.0,8522.0,1.0
