,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
v[51035],-0.132,0.917,-1.927,1.521,0.007,0.008,17972.0,12333.0,1.0
v[51191],-0.141,0.862,-1.851,1.413,0.007,0.007,14929.0,10920.0,1.0
v[51139],-0.242,0.874,-1.901,1.378,0.007,0.007,15655.0,12076.0,1.0
v[51510],-0.343,0.864,-2.001,1.26,0.008,0.007,10370.0,11704.0,1.0
v[51650],-0.022,0.751,-1.407,1.443,0.007,0.006,10903.0,11494.0,1.0
v[51013],0.176,0.836,-1.377,1.756,0.007,0.007,13653.0,10880.0,1.0
v[51027],1.007,0.914,-0.673,2.795,0.012,0.007,6349.0,8653.0,1.0
v[51760],0.55,0.825,-1.108,1.995,0.009,0.007,8861.0,9397.0,1.0
v[51057],-0.611,0.913,-2.339,1.084,0.007,0.007,15632.0,11568.0,1.0
v[51185],0.33,0.864,-1.306,1.92,0.007,0.007,14574.0,12407.0,1.0
v[51183],-0.517,0.935,-2.289,1.216,0.008,0.008,13904.0,10632.0,1.0
v[51683],0.762,0.912,-0.972,2.457,0.01,0.007,8858.0,10420.0,1.0
v[51775],0.011,0.877,-1.63,1.657,0.008,0.007,11790.0,10575.0,1.0
v[51037],-0.342,0.907,-2.027,1.41,0.007,0.008,15055.0,11537.0,1.0
v[51179],-0.373,0.732,-1.811,0.93,0.007,0.007,11360.0,10861.0,1.0
